id,year,examType,number,category,subject
261111,2026,CSAT,1,THEORY,단순 관점이 바라보는 독해 능력
261122,2026,CSAT,2,SOCIETY,(가) 법조문의 의미 해석 방법 / (나) 보증 계약에 관한 규범
261133,2026,CSAT,3,SCIENCE,열팽창 현상과 액추에이터
261144,2026,CSAT,4,HUMAN,인격 동일성에 관한 다양한 관점

260911,2026,MOCK_9,1,THEORY,생성형 인공지능 시대의 읽기 방식
260924,2026,MOCK_9,2,HUMAN,(가) 영화에 반영된 사회와 이념 / (나) SF의 장르적 특성과 사회적 의미
260932,2026,MOCK_9,3,SOCIETY,공공 저널리즘
260945,2026,MOCK_9,4,TECH,지각부호화를 이용한 오디오 신호 압축

260611,2026,MOCK_6,1,THEORY,동형이의어
260622,2026,MOCK_6,2,SOCIETY,(가) 여러 가지 법 모델 / (나) 임대차보호법
260633,2026,MOCK_6,3,SCIENCE,수소의 저장 및 추출과 활용
260644,2026,MOCK_6,4,HUMAN,플로리디의 정보 철학

251111,2025,CSAT,1,THEORY,밑줄 긋기
251124,2025,CSAT,2,HUMAN,(가) 한반도의 개화 개념 / (나) 중국의 서양 문물 수용 운동
251135,2025,CSAT,3,TECH,기계 학습에서의 확산 모델
251142,2025,CSAT,4,SOCIETY,사회적 상호작용의 개념과 명예훼손의 처벌에 대한 논쟁

250911,2025,MOCK_9,1,THEORY,시각 자료가 포함된 글 읽기
250922,2025,MOCK_9,2,SOCIETY,재판매 가격 유지 행위와 부당 광고에 대한 규제
250935,2025,MOCK_9,3,TECH,블록체인
250946,2025,MOCK_9,4,ART,(가) 바쟁의 영화 이론 / (나) 정신분석학적 영화 이론

250611,2025,MOCK_6,1,THEORY,여러 글의 정보를 종합하며 읽기
250622,2025,MOCK_6,2,SOCIETY,기업 경영에서의 과두제적 경영
250633,2025,MOCK_6,3,SCIENCE,플라스틱의 분자 구조와 형성 원리
250644,2025,MOCK_6,4,HUMAN,(가) 도덕 문장의 진리 적합성에 대한 에이어의 견해 / (나) 도덕 문장의 타당성에 대한 행크스의 관점

240611,2024,MOCK_6,1,THEORY,독서 동기
240622,2024,MOCK_6,2,SOCIETY,공포 소구 이론
240635,2024,MOCK_6,3,TECH,화학 반응과 촉매
240644,2024,MOCK_6,4,HUMAN,(가) 확장 인지 이론 / (나) 체험으로서의 지각

240911,2024,MOCK_9,1,THEORY,읽기 발달 단계
240922,2024,MOCK_9,2,SOCIETY,데이터의 소유권 주체
240935,2024,MOCK_9,3,TECH,초정밀 저울의 작동 원리
240944,2024,MOCK_9,4,HUMAN,(가) 신분제의 변화 양상 / (나) 실학자들의 신분제 개혁론

241111,2024,CSAT,1,THEORY,초인지
241122,2024,CSAT,2,SOCIETY,경마식 보도
241135,2024,CSAT,3,TECH,이상치와 결측치의 처리
241144,2024,CSAT,4,HUMAN,(가) 『노자』에 대한 한비자의 해석 / (나) 『노자』에 대한 다양한 유학자들의 해석

230611,2023,MOCK_6,1,THEORY,읽기 능력과 읽기 요소
230624,2023,MOCK_6,2,HUMAN,(가) 한(漢) 초기 육가(陸賈)의 사상 / (나) 조선 초기의 고려 관련 역사서 편찬
230633,2023,MOCK_6,3,SCIENCE,혈병과 비타민 K
230642,2023,MOCK_6,4,SOCIETY,이중차분법

230911,2023,MOCK_9,1,THEORY,눈동자 움직임 분석
230926,2023,MOCK_9,2,ART,(가) 아도르노의 예술관 / (나) 아도르노의 미학에 대한 비판적 관점
230932,2023,MOCK_9,3,SOCIETY,유류분권
230945,2023,MOCK_9,4,TECH,인터넷 검색 엔진의 원리

231111,2023,CSAT,1,THEORY,독서에서의 소통 양상
231124,2023,CSAT,2,HUMAN,(가) 중국과 조선의 유서 편찬 경향 / (나) 조선 후기 실학자들의 유서
231132,2023,CSAT,3,SOCIETY,법령에서의 불확정성 개념
231143,2023,CSAT,4,SCIENCE,클라이버의 기초 대사량 연구

220611,2022,MOCK_6,1,THEORY,독서의 의미 구성
220624,2022,MOCK_6,2,HUMAN,(가) 새먼의 과정 이론 / (나) 동중서와 주희의 재이론
220632,2022,MOCK_6,3,SOCIETY,베카리아의 형벌론
220645,2022,MOCK_6,4,TECH,중합 효소 연쇄 반응(PCR)

220912,2022,MOCK_9,1,SOCIETY,(가) 독점적 경쟁 시장에서 광고의 기능 / (나) 다양한 차원에서 광고의 영향
220924,2022,MOCK_9,2,HUMAN,반자유의지 논증과 이에 대한 비판적 입장
220935,2022,MOCK_9,3,TECH,메타버스의 몰입도를 높이는 여러 가지 기술

221111,2022,CSAT,1,THEORY,독서의 의의
221124,2022,CSAT,2,HUMAN,(가) 헤겔의 변증법적 분석 / (나) 변증법적 종합의 개념과 예술의 배치 측면에서 헤겔의 입장 비판
221132,2022,CSAT,3,SOCIETY,브레턴우즈 체제
221145,2022,CSAT,4,TECH,어라운드 뷰 카메라의 왜곡 보정과 시점 변환 과정

210614,2021,MOCK_6,1,HUMAN,(가) 과거제의 긍정적 영향 / (나) 과거제의 부정적 영향과 개혁론
210625,2021,MOCK_6,2,TECH,영상 안정화 기술
210632,2021,MOCK_6,3,SOCIETY,지식 재산 보호와 디지털세

210916,2021,MOCK_9,1,ART,(가) 미학과 예술의 조건에 대한 견해 변화 / (나) 예술 작품의 비평 방법
210922,2021,MOCK_9,2,SOCIETY,행정입법의 종류와 특징
210933,2021,MOCK_9,3,SCIENCE,항미생물 화학제의 종류와 작용 기제

211114,2021,CSAT,1,HUMAN,(가) 북학론의 2가지 견해 / (나) 18세기 중국의 경제적 상황
211122,2021,CSAT,2,SOCIETY,예약
211135,2021,CSAT,3,TECH,"3D 애니메이션 제작 기술(모델링, 렌더링)"

200614,2020,MOCK_6,1,HUMAN,에피쿠로스의 자연학과 윤리학
200622,2020,MOCK_6,2,SOCIETY,미시/거시 건전성
200633,2020,MOCK_6,3,SCIENCE,개체성의 철학적/생물학적 접근

200914,2020,MOCK_9,1,HUMAN,역사와 영화의 관계
200922,2020,MOCK_9,2,SOCIETY,점유와 소유
200935,2020,MOCK_9,3,TECH,위치 측정 기술

201114,2020,CSAT,1,HUMAN,베이즈주의의 조건화 원리
201123,2020,CSAT,2,SCIENCE,장기 이식과 내인성 레트로바이러스
201132,2020,CSAT,3,SOCIETY,"국제법과 바젤 협약, BIS 비율"

190614,2019,MOCK_6,1,HUMAN,이익과 최한기의 인체관
190622,2019,MOCK_6,2,SOCIETY,"임의 법규, 단속 법규, 강행 법규"
190633,2019,MOCK_6,3,SCIENCE,LFIA 키트

190912,2019,MOCK_9,1,SOCIETY,CDS 프리미엄
190925,2019,MOCK_9,2,TECH,주사 터널링 현미경(STM)
190932,2019,MOCK_9,3,SOCIETY,근대 도시에 관한 여러 견해들

191112,2019,CSAT,1,SOCIETY,계약과 채무 불이행
191123,2019,CSAT,2,SCIENCE,서양과 동양의 우주론 변화
191134,2019,CSAT,3,HUMAN,가능세계

180614,2018,MOCK_6,1,HUMAN,율곡의 법제 개혁론
180622,2018,MOCK_6,2,SOCIETY,통화 정책
180635,2018,MOCK_6,3,TECH,DNS 스푸핑

180916,2018,MOCK_9,1,ART,하이퍼리얼리즘
180923,2018,MOCK_9,2,SCIENCE,양자 역학
180932,2018,MOCK_9,3,SOCIETY,집합 의례

181114,2018,CSAT,1,HUMAN,아리스토텔레스의 목적론
181122,2018,CSAT,2,SOCIETY,오버슈팅
181135,2018,CSAT,3,TECH,디지털 통신 시스템과 부호화

170615,2017,MOCK_6,1,TECH,인공 신경망 기술
170624,2017,MOCK_6,2,HUMAN,동물 실험과 유비 논증
170633,2017,MOCK_6,3,SCIENCE,음악의 과학적 요소와 음악적 요소

170915,2017,MOCK_9,1,TECH,콘크리트의 발전과 근대 건축에서의 예술적 적용
170923,2017,MOCK_9,2,SCIENCE,칼로릭 이론과 열기관의 열효율 문제
170932,2017,MOCK_9,3,SOCIETY,사단법인

171114,2017,CSAT,1,HUMAN,총체주의
171123,2017,CSAT,2,SCIENCE,반추 동물의 탄수화물 이용
171132,2017,CSAT,3,SOCIETY,보험(경제적/법률적 접근)

160615,2016,MOCK_6,1,TECH,지문 인식 시스템
160623,2016,MOCK_6,2,SCIENCE,원자의 구성 요소의 발견 과정
160634,2016,MOCK_6,3,HUMAN,메타 윤리학에서 도덕 실재론과 정서주의
160644,2016,MOCK_6,4,HUMAN,장자의 호접몽과 물아일체 사상
160652,2016,MOCK_6,5,SOCIETY,현대의 개체화 현상에 대한 두 학자의 견해
160663,2016,MOCK_6,6,SCIENCE,우주 암흑 물질의 규명 과정

160915,2016,MOCK_9,1,TECH,해시 함수
160923,2016,MOCK_9,2,SCIENCE,지방질의 산패
160932,2016,MOCK_9,3,SOCIETY,경쟁 정책과 소비자 정책
160944,2016,MOCK_9,4,HUMAN,헴펠과 샐먼의 설명 이론
160952,2016,MOCK_9,5,SOCIETY,사색적 삶과 활동적 삶
160963,2016,MOCK_9,6,SCIENCE,항암제

161113,2016,CSAT,1,SCIENCE,돌림힘
161125,2016,CSAT,2,TECH,애벌랜치 광다이오드
161134,2016,CSAT,3,HUMAN,귀납에 내재된 논리적 한계
161144,2016,CSAT,4,HUMAN,도덕적 운과 도덕적 평가
161152,2016,CSAT,5,SOCIETY,지식 경영론
161162,2016,CSAT,6,SOCIETY,프로타고라스와 에우아틀로스의 논리 난제와 부관
161173,2016,CSAT,7,SCIENCE,빗방울의 종단 속도

150615,2015,MOCK_6,1,TECH,3가지 조명 기구
150624,2015,MOCK_6,2,HUMAN,고고학의 여러 이론
150633,2015,MOCK_6,3,SCIENCE,우유 열처리법
150642,2015,MOCK_6,4,SOCIETY,인센티브 계약
150654,2015,MOCK_6,5,HUMAN,작가주의적 비평과 할리우드
150664,2015,MOCK_6,6,HUMAN,정합설
150673,2015,MOCK_6,7,SCIENCE,별의 밝기
150682,2015,MOCK_6,8,SOCIETY,광고 규제 (책임자: 소비자 VS 기업)

150913,2015,MOCK_9,1,SCIENCE,후각의 작동 원리
150925,2015,MOCK_9,2,TECH,CPU 스케줄링
150932,2015,MOCK_9,3,SOCIETY,그로티우스의 자연법 사상
150944,2015,MOCK_9,4,HUMAN,맹자의 ‘의’ 사상
150952,2015,MOCK_9,5,SOCIETY,정책 결정과 주민 참여 제도
150963,2015,MOCK_9,6,SCIENCE,점탄성

151113,2015,CSAT,1,SCIENCE,단백질의 합성·분해와 필수아미노산
151125,2015,CSAT,2,TECH,디지털 영상의 확대와 축소의 원리
151132,2015,CSAT,3,SOCIETY,공공 서비스
151144,2015,CSAT,4,HUMAN,신채호의 ‘아’ 사상
151152,2015,CSAT,5,SOCIETY,헤겔과 뒤르켐의 사회 이론
151163,2015,CSAT,6,SCIENCE,슈퍼문과 타원 궤도
151174,2015,CSAT,7,HUMAN,칸트와 취미 판단 이론

140613,2014,MOCK_6,1,SCIENCE,레일리 산란과 미 산란
140625,2014,MOCK_6,2,TECH,플래시 메모리
140634,2014,MOCK_6,3,HUMAN,냉전에 관한 3가지 견해
140642,2014,MOCK_6,4,SOCIETY,소송의 입증 책임과 공해 소송
140654,2014,MOCK_6,5,HUMAN,본질주의와 반본질주의
140662,2014,MOCK_6,6,SOCIETY,저작물의 공정 이용
140673,2014,MOCK_6,7,SCIENCE,양안 단서와 단안 단서
140684,2014,MOCK_6,8,HUMAN,캄피돌리오 광장의 심미적 원리

140913,2014,MOCK_9,1,SCIENCE,동물의 길찾기 방법
140925,2014,MOCK_9,2,TECH,CT의 원리
140934,2014,MOCK_9,3,HUMAN,실재론과 반실재론
140946,2014,MOCK_9,4,ART,한옥의 창호
140954,2014,MOCK_9,5,HUMAN,<대학> 해석에 대한 주희와 정약용의 입장
140966,2014,MOCK_9,6,ART,단토의 미술 종말론
140974,2014,MOCK_9,7,HUMAN,공동 소송과 집단 소송
140983,2014,MOCK_9,8,SCIENCE,각운동량 보존의 원리

141113,2014,CSAT,1,SCIENCE,분광 분석법
141126,2014,CSAT,2,ART,승선교
141134,2014,CSAT,3,HUMAN,아놀드 토인비의 역사 인식
141145,2014,CSAT,4,TECH,CD 드라이브
141151,2014,CSAT,5,THEORY,이덕무 「사소절」
141164,2014,CSAT,6,HUMAN,심신 이원론과 심신 일원론
141173,2014,CSAT,7,SCIENCE,전향력
141186,2014,CSAT,8,ART,베토벤 음악 신화

130614,2013,MOCK_6,1,HUMAN,헤로도토스의 『역사』와 역사 서술
130623,2013,MOCK_6,2,SCIENCE,증산 작용과 수분 퍼텐셜
130636,2013,MOCK_6,3,ART,이차 프레임
130647,2013,MOCK_6,4,GRAMMAR,2인칭 대명사
130655,2013,MOCK_6,5,TECH,디스크 스케줄링
130662,2013,MOCK_6,6,SOCIETY,명령적 위임과 자유 위임

130914,2013,MOCK_9,1,HUMAN,공자의 유학 사상
130925,2013,MOCK_9,2,TECH,포토리소그래피
130937,2013,MOCK_9,3,GRAMMAR,유추에 의한 단어 형성
130942,2013,MOCK_9,4,SOCIETY,시대에 따른 놀이의 변화
130956,2013,MOCK_9,5,ART,바실리카식 성당
130963,2013,MOCK_9,6,SCIENCE,기체 분자의 속력 분포

131114,2013,CSAT,1,HUMAN,포퍼의 귀납 논증
131126,2013,CSAT,2,ART,영화와 만화의 차이점
131133,2013,CSAT,3,SCIENCE,반데르발스 상태 방정식
131142,2013,CSAT,4,SOCIETY,연금 제도
131155,2013,CSAT,5,TECH,음성 인식 기술

120614,2012,MOCK_6,1,HUMAN,일치법과 차이법
120622,2012,MOCK_6,2,SOCIETY,혁신의 확산
120635,2012,MOCK_6,3,TECH,진공관과 반도체
120646,2012,MOCK_6,4,ART,18·19·20세기 ‘연주’의 개념
120657,2012,MOCK_6,5,GRAMMAR,높임 표현
120663,2012,MOCK_6,6,SCIENCE,운동 시 근육의 작용 원리

120914,2012,MOCK_9,1,HUMAN,대응설·정합설·실용설
120923,2012,MOCK_9,2,SCIENCE,데카르트 좌표계
120936,2012,MOCK_9,3,ART,영화적 관습과 관습 비틀기
120947,2012,MOCK_9,4,GRAMMAR,제2 언어(L2)와 중간 언어
120952,2012,MOCK_9,5,SOCIETY,한계 비용과 공공재
120965,2012,MOCK_9,6,TECH,디지털 피아노의 작동 원리

121114,2012,CSAT,1,HUMAN,비트겐슈타인의 그림 이론
121123,2012,CSAT,2,SCIENCE,사람의 음원 위치 추정 원리
121132,2012,CSAT,3,SOCIETY,외부성
121147,2012,CSAT,4,GRAMMAR,한글의 표음성
121156,2012,CSAT,5,ART,기악 음악의 의미 문제의 해결 과정
121163,2012,CSAT,6,SCIENCE,불확정성 원리

110614,2011,MOCK_6,1,HUMAN,추론의 건전성·개연성·타당성
110623,2011,MOCK_6,2,SCIENCE,사막의 형성 원리
110636,2011,MOCK_6,3,ART,회화적 재현과 입체주의
110642,2011,MOCK_6,4,SOCIETY,유명인 모델의 광고 출현
110655,2011,MOCK_6,5,TECH,자동차 엔진 동력 발생 주기와 에너지 효율
110667,2011,MOCK_6,6,GRAMMAR,한글 창제 직후 한글-한자 혼용 표기 방식

110913,2011,MOCK_9,1,SCIENCE,절대 시간과 시간 팽창
110921,2011,MOCK_9,2,THEORY,독서 방식의 역사
110932,2011,MOCK_9,3,SOCIETY,J커브 현상
110946,2011,MOCK_9,4,ART,고대 그리스 음악 이론
110954,2011,MOCK_9,5,HUMAN,공리주의와 반공리주의
110965,2011,MOCK_9,6,TECH,가스 센서

111114,2011,CSAT,1,HUMAN,자산의 개혁 조치
111126,2011,CSAT,2,ART,두 가지 미학 관점과 뮤지컬
111135,2011,CSAT,3,TECH,배열과 연결 리스트
111143,2011,CSAT,4,SCIENCE,그레고리력
111157,2011,CSAT,5,GRAMMAR,합성어의 형성 원리(‘뒤지쥐·달리차’)
111162,2011,CSAT,6,SOCIETY,채권(경제 지문)
